Subject,Predicate,Object
上千铆钉零公差、116 孔“复印”装配,应用于,航天军工
龙建军,体现,拒绝“差不多”
拒绝“差不多”,属于,航天军工
龙建军,体现,极致完美
极致完美,属于,航天军工
龙建军,体现,主动钻研
主动钻研,属于,航天军工
龙建军,属于,航天军工
龙建军,采用,改进型
龙建军,使用,师徒
龙建军,风险等级,中
龙建军,精度等级,极高
梅琳,从事,水电站巨型转子吊装
梅琳,掌握,2300 t 转子落位 1 mm 误差
2300 t 转子落位 1 mm 误差,应用于,能源电力
梅琳,体现,手感匠心
手感匠心,属于,能源电力
梅琳,体现,二十六年坚守
二十六年坚守,属于,能源电力
梅琳,体现,挑战极限
挑战极限,属于,能源电力
梅琳,属于,能源电力
梅琳,采用,改进型
梅琳,使用,自学
梅琳,风险等级,中
梅琳,精度等级,极高
阎敏,从事,导弹喷管数控车
阎敏,掌握,0.005 mm 极值精度
0.005 mm 极值精度,应用于,航天军工
阎敏,体现,人机合一
人机合一,属于,航天军工
阎敏,体现,磨刀苦练
磨刀苦练,属于,航天军工
阎敏,体现,百发百中
百发百中,属于,航天军工
阎敏,属于,航天军工
阎敏,采用,改进型
阎敏,使用,自学
阎敏,风险等级,高
阎敏,精度等级,极高
易冉,从事,重载铁路货车焊接
易冉,掌握,0.2 mm 咬边控制仰角焊
0.2 mm 咬边控制仰角焊,应用于,装备制造
易冉,体现,敢打敢拼
敢打敢拼,属于,装备制造
易冉,体现,苦练技艺
苦练技艺,属于,装备制造
易冉,体现,数字传承
数字传承,属于,装备制造
易冉,属于,装备制造
易冉,采用,改进型
易冉,使用,师徒
易冉,风险等级,中
易冉,精度等级,高
张舸,从事,神舟飞船总装
张舸,掌握,盲操作 0.7 m² 舱内装 200 台设备
盲操作 0.7 m² 舱内装 200 台设备,应用于,航天军工
张舸,体现,万次苦练
万次苦练,属于,航天军工
张舸,体现,零失误
零失误,属于,航天军工
张舸,体现,技术创新
技术创新,属于,航天军工
张舸,属于,航天军工
张舸,采用,改进型
张舸,使用,师徒
张舸,风险等级,高
张舸,精度等级,高
张嘉,从事,冬奥 5G 通信搭建
张嘉,掌握,零下 20℃ 徒手熔接光纤
零下 20℃ 徒手熔接光纤,应用于,装备制造
张嘉,体现,精益求精
精益求精,属于,装备制造
张嘉,体现,攻坚克难
攻坚克难,属于,装备制造
张嘉,体现,奥运情怀
奥运情怀,属于,装备制造
张嘉,属于,装备制造
张嘉,采用,改进型
张嘉,使用,自学
张嘉,风险等级,中
张嘉,精度等级,高
张如意,从事,机车调试
张如意,掌握,“零缺陷”出厂诊断绝技
“零缺陷”出厂诊断绝技,应用于,装备制造
张如意,体现,永不言败
永不言败,属于,装备制造
张如意,体现,倾囊授徒
倾囊授徒,属于,装备制造
张如意,体现,走向世界
走向世界,属于,装备制造
张如意,属于,装备制造
张如意,采用,改进型
张如意,使用,师徒
张如意,风险等级,低
张如意,精度等级,高
郑兴,从事,空间站密封舱焊接
郑兴,掌握,变极性等离子弧一次成型无气孔
变极性等离子弧一次成型无气孔,应用于,航天军工
郑兴,体现,能吃苦
能吃苦,属于,航天军工
郑兴,体现,爱思考
爱思考,属于,航天军工
郑兴,体现,敢首创
敢首创,属于,航天军工
郑兴,属于,航天军工
郑兴,采用,改进型
郑兴,使用,自学
郑兴,风险等级,中
郑兴,精度等级,极高
王进,从事,特高压带电检修工
王进,掌握,138 m高空“秋千法”带电作业，耳听电晕判2 mm级损伤
138 m高空“秋千法”带电作业，耳听电晕判2 mm级损伤,应用于,能源电力
王进,体现,胆魄勇气
胆魄勇气,属于,能源电力
王进,体现,创新突破
创新突破,属于,能源电力
王进,体现,责任担当
责任担当,属于,能源电力
王进,属于,能源电力
王进,采用,突破性
王进,使用,自学
王进,风险等级,高
王进,精度等级,中
未晓朋,从事,核电主管道焊工
未晓朋,掌握,70 mm厚壁管道对称焊，4600根焊条零气孔
70 mm厚壁管道对称焊，4600根焊条零气孔,应用于,基建工程
未晓朋,体现,精益求精
精益求精,属于,基建工程
未晓朋,体现,坚守执着
坚守执着,属于,基建工程
未晓朋,体现,责任担当
责任担当,属于,基建工程
未晓朋,属于,基建工程
未晓朋,采用,改进型
未晓朋,使用,师徒
未晓朋,风险等级,高
未晓朋,精度等级,高
周永和,从事,FAST反射面吊装工
周永和,掌握,“圆规法”吊装40万块面板，2 mm误差
“圆规法”吊装40万块面板，2 mm误差,应用于,基建工程
周永和,体现,创新突破
创新突破,属于,基建工程
周永和,体现,精益求精
周永和,体现,责任担当
周永和,属于,基建工程
周永和,采用,突破性
周永和,使用,自学
周永和,风险等级,中
周永和,精度等级,高
毛胜利,从事,宣纸晒纸工
毛胜利,掌握,11 m“三丈三”宣纸捞、晒、刷22刷零褶皱
11 m“三丈三”宣纸捞、晒、刷22刷零褶皱,应用于,文化传承
毛胜利,体现,坚守执着
坚守执着,属于,文化传承
毛胜利,体现,精益求精
精益求精,属于,文化传承
毛胜利,体现,传承奉献
传承奉献,属于,文化传承
毛胜利,属于,文化传承
毛胜利,采用,传承型
毛胜利,使用,师徒
毛胜利,风险等级,低
毛胜利,精度等级,高
王亚蓉,从事,古丝绸修复专家
王亚蓉,掌握,200倍显微镜下0.1 mm经线提取，复织唐代四经绞罗
200倍显微镜下0.1 mm经线提取，复织唐代四经绞罗,应用于,文化传承
王亚蓉,体现,坚守执着
王亚蓉,体现,精益求精
王亚蓉,体现,传承奉献
王亚蓉,属于,文化传承
王亚蓉,采用,传承型
王亚蓉,使用,师徒
王亚蓉,风险等级,低
王亚蓉,精度等级,极高
王伟,从事,大飞机钣金工
王伟,掌握,木锤敲出0.09 mm舱门弧变，九丝塞尺不过
木锤敲出0.09 mm舱门弧变，九丝塞尺不过,应用于,基建工程
王伟,体现,坚守执着
王伟,体现,精益求精
王伟,体现,创新突破
王伟,属于,基建工程
王伟,采用,改进型
王伟,使用,自学
王伟,风险等级,中
王伟,精度等级,高
刘佑年,从事,编钟工匠
刘佑年,掌握,手工调音，22道工序一口钟
手工调音，22道工序一口钟,应用于,文化传承
刘佑年,体现,坚守执着
刘佑年,体现,精益求精
刘佑年,体现,传承奉献
刘佑年,属于,文化传承
刘佑年,采用,传承型
刘佑年,使用,师徒
刘佑年,风险等级,低
刘佑年,精度等级,高
潘从明,从事,贵金属精炼师
潘从明,掌握,凭溶液颜色判贵金属纯度，99.994%极致
凭溶液颜色判贵金属纯度，99.994%极致,应用于,装备制造
潘从明,体现,精益求精
潘从明,体现,创新突破
创新突破,属于,装备制造
潘从明,体现,责任担当
责任担当,属于,装备制造
潘从明,属于,装备制造
潘从明,采用,突破性
潘从明,使用,自学
潘从明,风险等级,中
潘从明,精度等级,极高
乔素凯,从事,核电燃料修复师
乔素凯,掌握,4米长杆水下修复核燃料棒，200关键点零失误
4米长杆水下修复核燃料棒，200关键点零失误,应用于,能源电力
乔素凯,体现,精益求精
精益求精,属于,能源电力
乔素凯,体现,责任担当
乔素凯,体现,胆魄勇气
乔素凯,属于,能源电力
乔素凯,采用,改进型
乔素凯,使用,师徒
乔素凯,风险等级,高
乔素凯,精度等级,高
韩利萍,从事,数控铣工
韩利萍,掌握,73孔一次装夹，两天内微米级加工
73孔一次装夹，两天内微米级加工,应用于,航天军工
韩利萍,体现,精益求精
韩利萍,体现,创新突破
创新突破,属于,航天军工
韩利萍,体现,责任担当
责任担当,属于,航天军工
韩利萍,属于,航天军工
韩利萍,采用,改进型
韩利萍,使用,师徒
韩利萍,风险等级,中
韩利萍,精度等级,极高
余敏,从事,钱币设计师
余敏,掌握,手工浮雕，高度误差≤0.1 mm
手工浮雕，高度误差≤0.1 mm,应用于,文化传承
余敏,体现,精益求精
余敏,体现,传承奉献
余敏,体现,创新突破
创新突破,属于,文化传承
余敏,属于,文化传承
余敏,采用,传承型
余敏,使用,院校
余敏,风险等级,低
余敏,精度等级,高
罗昭强,从事,轨道车辆装调工
罗昭强,掌握,高铁模拟培训装置，4项发明专利
高铁模拟培训装置，4项发明专利,应用于,装备制造
罗昭强,体现,创新突破
罗昭强,体现,责任担当
罗昭强,体现,精益求精
罗昭强,属于,装备制造
罗昭强,采用,突破性
罗昭强,使用,自学
罗昭强,风险等级,中
罗昭强,精度等级,高
黄金娟,从事,电能表检定工
黄金娟,掌握,世界首条自动化检定流水线，2秒拆接线
世界首条自动化检定流水线，2秒拆接线,应用于,能源电力
黄金娟,体现,精益求精
黄金娟,体现,创新突破
黄金娟,体现,责任担当
黄金娟,属于,能源电力
黄金娟,采用,突破性
黄金娟,使用,师徒
黄金娟,风险等级,低
黄金娟,精度等级,高
谭文波,从事,井下作业工
谭文波,掌握,电动液压桥塞坐封工具，30吨推力
电动液压桥塞坐封工具，30吨推力,应用于,能源电力
谭文波,体现,创新突破
谭文波,体现,责任担当
谭文波,体现,精益求精
谭文波,属于,能源电力
谭文波,采用,突破性
谭文波,使用,自学
谭文波,风险等级,中
谭文波,精度等级,高
王曙群,从事,航天对接机构总装
王曙群,掌握,100-1=0，200插孔零失误
100-1=0，200插孔零失误,应用于,航天军工
王曙群,体现,精益求精
王曙群,体现,责任担当
王曙群,体现,创新突破
王曙群,属于,航天军工
王曙群,采用,改进型
王曙群,使用,师徒
王曙群,风险等级,高
王曙群,精度等级,极高
洪家光,从事,航空发动机工装制造
洪家光,掌握,叶片滚轮精密磨削，0.005 mm
叶片滚轮精密磨削，0.005 mm,应用于,航天军工
洪家光,体现,精益求精
洪家光,体现,责任担当
洪家光,体现,创新突破
洪家光,属于,航天军工
洪家光,采用,改进型
洪家光,使用,师徒
洪家光,风险等级,高
洪家光,精度等级,极高
管延安,从事,深海钳工/沉管安装
管延安,掌握,0.02 mm级法兰盘手工研磨、听音判间隙
0.02 mm级法兰盘手工研磨、听音判间隙,应用于,基建工程
管延安,体现,坚守执着
管延安,体现,精益求精
管延安,体现,责任担当
管延安,属于,基建工程
管延安,采用,改进型
管延安,使用,师徒
管延安,风险等级,高
管延安,精度等级,极高
周东红,从事,宣纸捞纸工
周东红,掌握,7秒一帘、年均150%任务量、100%正品率
7秒一帘、年均150%任务量、100%正品率,应用于,文化传承
周东红,体现,坚守执着
周东红,体现,精益求精
周东红,体现,传承奉献
周东红,属于,文化传承
周东红,采用,传承型
周东红,使用,师徒
周东红,风险等级,低
周东红,精度等级,高
宁允展,从事,高铁转向架研磨师
宁允展,掌握,0.05 mm“定位臂”纯手工研磨、接触面贴合率≥90%
0.05 mm“定位臂”纯手工研磨、接触面贴合率≥90%,应用于,装备制造
宁允展,体现,精益求精
宁允展,体现,创新突破
宁允展,体现,责任担当
宁允展,属于,装备制造
宁允展,采用,突破性
宁允展,使用,自学
宁允展,风险等级,中
宁允展,精度等级,极高
张冬伟,从事,LNG船殷瓦钢焊工
张冬伟,掌握,0.7 mm薄板5小时6 m焊缝零返工、14 km手工焊100%合格
0.7 mm薄板5小时6 m焊缝零返工、14 km手工焊100%合格,应用于,基建工程
张冬伟,体现,精益求精
张冬伟,体现,责任担当
张冬伟,体现,创新突破
张冬伟,属于,基建工程
张冬伟,采用,改进型
张冬伟,使用,师徒
张冬伟,风险等级,中
张冬伟,精度等级,高
胡双钱,从事,飞机钳工
胡双钱,掌握,0.15 mm小孔非平面加工、数十万飞机零件零差错
0.15 mm小孔非平面加工、数十万飞机零件零差错,应用于,航天军工
胡双钱,体现,精益求精
胡双钱,体现,责任担当
胡双钱,体现,坚守执着
坚守执着,属于,航天军工
胡双钱,属于,航天军工
胡双钱,采用,改进型
胡双钱,使用,师徒
胡双钱,风险等级,中
胡双钱,精度等级,高
顾秋亮,从事,蛟龙号装配钳工
顾秋亮,掌握,0.02 mm级密封、70%球面接触“听感”绝技
0.02 mm级密封、70%球面接触“听感”绝技,应用于,装备制造
顾秋亮,体现,精益求精
顾秋亮,体现,责任担当
顾秋亮,体现,坚守执着
坚守执着,属于,装备制造
顾秋亮,属于,装备制造
顾秋亮,采用,改进型
顾秋亮,使用,师徒
顾秋亮,风险等级,高
顾秋亮,精度等级,极高
孟剑锋,从事,錾刻工艺师
孟剑锋,掌握,0.07 mm细纹錾刀、百万次錾刻0失误
0.07 mm细纹錾刀、百万次錾刻0失误,应用于,文化传承
孟剑锋,体现,精益求精
孟剑锋,体现,传承奉献
孟剑锋,体现,创新突破
孟剑锋,属于,文化传承
孟剑锋,采用,传承型
孟剑锋,使用,师徒
孟剑锋,风险等级,低
孟剑锋,精度等级,高
高凤林,从事,火箭发动机焊工
高凤林,掌握,0.16 mm焊道3万点、0.1 s熔池控制
0.16 mm焊道3万点、0.1 s熔池控制,应用于,航天军工
高凤林,体现,精益求精
高凤林,体现,责任担当
高凤林,体现,创新突破
高凤林,属于,航天军工
高凤林,采用,改进型
高凤林,使用,自学
高凤林,风险等级,高
高凤林,精度等级,极高
方文墨,从事,舰载机钳工
方文墨,掌握,3 μm“文墨精度”、蒙眼锉削
3 μm“文墨精度”、蒙眼锉削,应用于,航天军工
方文墨,体现,精益求精
方文墨,体现,创新突破
方文墨,体现,责任担当
方文墨,属于,航天军工
方文墨,采用,改进型
方文墨,使用,院校
方文墨,风险等级,低
方文墨,精度等级,极高
毛正石,从事,铸造工
毛正石,掌握,1400 ℃铁水10 ℃温差“眼力”判断
1400 ℃铁水10 ℃温差“眼力”判断,应用于,装备制造
毛正石,体现,坚守执着
毛正石,体现,精益求精
毛正石,体现,创新突破
毛正石,属于,装备制造
毛正石,采用,改进型
毛正石,使用,师徒
毛正石,风险等级,中
毛正石,精度等级,高
李志强,从事,航空发动机装配工
李志强,掌握,数万个零件“倒班接力”装配精度堪比机械表芯
数万个零件“倒班接力”装配精度堪比机械表芯,应用于,航天军工
李志强,体现,精益求精
李志强,体现,创新突破
李志强,体现,责任担当
李志强,属于,航天军工
李志强,采用,突破性
李志强,使用,师徒
李志强,风险等级,中
李志强,精度等级,极高
单嘉玖,从事,古书画修复师
单嘉玖,掌握,0.1 mm级“揭、托、补、全”手工修复
0.1 mm级“揭、托、补、全”手工修复,应用于,文化传承
单嘉玖,体现,坚守执着
单嘉玖,体现,传承奉献
单嘉玖,体现,精益求精
单嘉玖,属于,文化传承
单嘉玖,采用,传承型
单嘉玖,使用,师徒
单嘉玖,风险等级,低
单嘉玖,精度等级,高
戎鹏强,从事,深孔镗工
戎鹏强,掌握,0.01 mm级身管“正、直”加工
0.01 mm级身管“正、直”加工,应用于,装备制造
戎鹏强,体现,坚守执着
戎鹏强,体现,精益求精
戎鹏强,体现,责任担当
戎鹏强,属于,装备制造
戎鹏强,采用,改进型
戎鹏强,使用,师徒
戎鹏强,风险等级,中
戎鹏强,精度等级,极高
张新停,从事,弹药量具钳工
张新停,掌握,0.001 mm级合膛规、复杂卡规100%合格
0.001 mm级合膛规、复杂卡规100%合格,应用于,装备制造
张新停,体现,精益求精
张新停,体现,创新突破
张新停,体现,责任担当
张新停,属于,装备制造
张新停,采用,改进型
张新停,使用,师徒
张新停,风险等级,中
张新停,精度等级,极高
李世峰,从事,飞机钣金工
李世峰,掌握,木榔头敲制铝合金复杂曲面，一次交检100%
木榔头敲制铝合金复杂曲面，一次交检100%,应用于,航天军工
李世峰,体现,坚守执着
李世峰,体现,精益求精
李世峰,体现,责任担当
李世峰,属于,航天军工
李世峰,采用,改进型
李世峰,使用,师徒
李世峰,风险等级,中
李世峰,精度等级,高
潘玉华,从事,微焊接工
潘玉华,掌握,硬币大小1144根铅柱手工焊接，误差＜发径1/2
硬币大小1144根铅柱手工焊接，误差＜发径1/2,应用于,装备制造
潘玉华,体现,精益求精
潘玉华,体现,责任担当
潘玉华,体现,传承奉献
传承奉献,属于,装备制造
潘玉华,属于,装备制造
潘玉华,采用,改进型
潘玉华,使用,师徒
潘玉华,风险等级,中
潘玉华,精度等级,极高
马荣,从事,人民币雕刻师
马荣,掌握,0.1 mm级凹版人像，首创版纹间隔线
0.1 mm级凹版人像，首创版纹间隔线,应用于,文化传承
马荣,体现,精益求精
马荣,体现,传承奉献
马荣,体现,创新突破
马荣,属于,文化传承
马荣,采用,突破性
马荣,使用,院校
马荣,风险等级,低
马荣,精度等级,高
巩鹏,从事,航天钳工/研磨师
巩鹏,掌握,“巩氏研磨”0.001 mm级加速度计
“巩氏研磨”0.001 mm级加速度计,应用于,航天军工
巩鹏,体现,精益求精
巩鹏,体现,传承奉献
传承奉献,属于,航天军工
巩鹏,体现,创新突破
巩鹏,属于,航天军工
巩鹏,采用,改进型
巩鹏,使用,师徒
巩鹏,风险等级,中
巩鹏,精度等级,极高
卢仁峰,从事,坦克焊工
卢仁峰,掌握,独手电弧焊单面双面成型，缺陷返修100%
独手电弧焊单面双面成型，缺陷返修100%,应用于,航天军工
卢仁峰,体现,坚守执着
卢仁峰,体现,精益求精
卢仁峰,体现,责任担当
卢仁峰,属于,航天军工
卢仁峰,采用,改进型
卢仁峰,使用,师徒
卢仁峰,风险等级,中
卢仁峰,精度等级,高
徐立平,从事,固体燃料整形师
徐立平,掌握,0.2 mm手工雕刻火药，29年零事故
0.2 mm手工雕刻火药，29年零事故,应用于,航天军工
徐立平,体现,精益求精
徐立平,体现,责任担当
徐立平,体现,坚守执着
徐立平,属于,航天军工
徐立平,采用,改进型
徐立平,使用,自学
徐立平,风险等级,高
徐立平,精度等级,极高
张冬梅,从事,中药丸制作工
张冬梅,掌握,安宫牛黄丸“非遗”全工序手工零差错
安宫牛黄丸“非遗”全工序手工零差错,应用于,文化传承
张冬梅,体现,坚守执着
张冬梅,体现,精益求精
张冬梅,体现,传承奉献
张冬梅,属于,文化传承
张冬梅,采用,传承型
张冬梅,使用,师徒
张冬梅,风险等级,低
张冬梅,精度等级,高
刘伯鸣,从事,中国一重水压机锻造工
刘伯鸣,掌握,1.5万吨自由锻、核电锻件同步变形技术
1.5万吨自由锻、核电锻件同步变形技术,应用于,装备制造
刘伯鸣,体现,执着探索
执着探索,属于,装备制造
刘伯鸣,体现,团队引领
团队引领,属于,装备制造
刘伯鸣,体现,传帮带
传帮带,属于,装备制造
刘伯鸣,属于,装备制造
刘伯鸣,采用,突破性
刘伯鸣,使用,师徒
刘伯鸣,风险等级,高
刘伯鸣,精度等级,极高
刘更生,从事,京作硬木家具修复师
刘更生,掌握,传统榫卯结构修复、清代家具整体复原
传统榫卯结构修复、清代家具整体复原,应用于,文化传承
刘更生,体现,坚守执着
刘更生,体现,传承奉献
刘更生,体现,精益求精
刘更生,属于,文化传承
刘更生,采用,传承型
刘更生,使用,师徒
刘更生,风险等级,低
刘更生,精度等级,高
刘湘宾,从事,航天数控铣工
刘湘宾,掌握,微米级/亚微米级超精密铣削、硬脆材料超声振动加工
微米级/亚微米级超精密铣削、硬脆材料超声振动加工,应用于,航天军工
刘湘宾,体现,持续学习
刘湘宾,体现,创新突破
刘湘宾,体现,精益求精
刘湘宾,属于,航天军工
刘湘宾,采用,改进型
刘湘宾,使用,师徒
刘湘宾,风险等级,中
刘湘宾,精度等级,极高
周平红,从事,消化内镜微创医生
周平红,掌握,内镜黏膜下隧道技术、内镜经消化道腔外手术
内镜黏膜下隧道技术、内镜经消化道腔外手术,应用于,装备制造
周平红,体现,创新突破
周平红,体现,精益求精
周平红,体现,责任担当
周平红,属于,装备制造
周平红,采用,突破性
周平红,使用,院校
周平红,风险等级,中
周平红,精度等级,高
周建民,从事,工具钳工/量规制造
周建民,掌握,"0.001 mm级量规纯手工研磨、""周氏精度""头发丝1/60"
"0.001 mm级量规纯手工研磨、""周氏精度""头发丝1/60",应用于,装备制造
周建民,体现,精益求精
周建民,体现,创新突破
周建民,体现,责任担当
周建民,属于,装备制造
周建民,采用,改进型
周建民,使用,师徒
周建民,风险等级,中
周建民,精度等级,极高
周皓,从事,深海装备钳工/机械加工
周皓,掌握,万米深海装备首件加工、168项技术难题解决
万米深海装备首件加工、168项技术难题解决,应用于,装备制造
周皓,体现,自主突破
周皓,体现,精益求精
周皓,体现,勇挑重担
勇挑重担,属于,装备制造
周皓,属于,装备制造
周皓,采用,突破性
周皓,使用,自学
周皓,风险等级,高
周皓,精度等级,极高
夏立,从事,卫星天线装配钳工
夏立,掌握,0.004 mm间隙手工研磨、异型铜馈源无模具焊接
0.004 mm间隙手工研磨、异型铜馈源无模具焊接,应用于,装备制造
夏立,体现,精益求精
夏立,体现,创新突破
夏立,体现,责任担当
夏立,属于,装备制造
夏立,采用,突破性
夏立,使用,师徒
夏立,风险等级,中
夏立,精度等级,极高
孙红梅,从事,航空发动机焊修工
孙红梅,掌握,0.003 mm变形量控制、激光熔覆修复
0.003 mm变形量控制、激光熔覆修复,应用于,装备制造
孙红梅,体现,精益求精
孙红梅,体现,责任担当
孙红梅,体现,坚守执着
孙红梅,属于,装备制造
孙红梅,采用,改进型
孙红梅,使用,师徒
孙红梅,风险等级,中
孙红梅,精度等级,极高
张兴华,从事,木质渔船制作技艺传承人
张兴华,掌握,"22道工序手工排船、""水密隔舱""技术提升"
"22道工序手工排船、""水密隔舱""技术提升",应用于,文化传承
张兴华,体现,坚守执着
张兴华,体现,精益求精
张兴华,体现,传承奉献
张兴华,属于,文化传承
张兴华,采用,传承型
张兴华,使用,师徒
张兴华,风险等级,低
张兴华,精度等级,高
张路明,从事,军用短波通信设计师
张路明,掌握,短波Ⅲ代智能机、机载短波天馈系统一体化设计
短波Ⅲ代智能机、机载短波天馈系统一体化设计,应用于,装备制造
张路明,体现,自主创新
自主创新,属于,装备制造
张路明,体现,精益求精
张路明,体现,责任担当
张路明,属于,装备制造
张路明,采用,突破性
张路明,使用,自学
张路明,风险等级,高
张路明,精度等级,高
彭祥华,从事,隧道爆破工
彭祥华,掌握,毫克级装药控制、光面爆破精准设计
毫克级装药控制、光面爆破精准设计,应用于,基建工程
彭祥华,体现,胆魄勇气
胆魄勇气,属于,基建工程
彭祥华,体现,精益求精
彭祥华,体现,责任担当
彭祥华,属于,基建工程
彭祥华,采用,改进型
彭祥华,使用,师徒
彭祥华,风险等级,高
彭祥华,精度等级,高
戴振涛,从事,航母阻拦机安装钳工
戴振涛,掌握,0.02mm级导轨手工研磨、百万数据精度校准
0.02mm级导轨手工研磨、百万数据精度校准,应用于,基建工程
戴振涛,体现,精益求精
戴振涛,体现,责任担当
戴振涛,体现,坚守执着
戴振涛,属于,基建工程
戴振涛,采用,改进型
戴振涛,使用,师徒
戴振涛,风险等级,高
戴振涛,精度等级,极高
朱恒银,从事,地质钻探专家
朱恒银,掌握,3000米深部钻探技术、5000米智能钻探装备
3000米深部钻探技术、5000米智能钻探装备,应用于,装备制造
朱恒银,体现,创新突破
朱恒银,体现,责任担当
朱恒银,体现,传帮带
朱恒银,属于,装备制造
朱恒银,采用,突破性
朱恒银,使用,师徒
朱恒银,风险等级,高
朱恒银,精度等级,高
朱文立,从事,汝瓷烧制技艺传承人
朱文立,掌握,天青釉复烧、汝瓷釉料配方研究
天青釉复烧、汝瓷釉料配方研究,应用于,文化传承
朱文立,体现,坚守执着
朱文立,体现,精益求精
朱文立,体现,传承奉献
朱文立,属于,文化传承
朱文立,采用,传承型
朱文立,使用,师徒
朱文立,风险等级,中
朱文立,精度等级,高
李万君,从事,高铁转向架焊接工
李万君,掌握,30种焊接操作方法、环口焊接七步操作法
30种焊接操作方法、环口焊接七步操作法,应用于,装备制造
李万君,体现,精益求精
李万君,体现,创新突破
李万君,体现,责任担当
李万君,属于,装备制造
李万君,采用,改进型
李万君,使用,师徒
李万君,风险等级,中
李万君,精度等级,极高
李云鹤,从事,敦煌壁画修复师
李云鹤,掌握,起甲壁画修复、石窟整体异地搬迁复原
起甲壁画修复、石窟整体异地搬迁复原,应用于,文化传承
李云鹤,体现,坚守执着
李云鹤,体现,精益求精
李云鹤,体现,传承奉献
李云鹤,属于,文化传承
李云鹤,采用,传承型
李云鹤,使用,师徒
李云鹤,风险等级,低
李云鹤,精度等级,高
李仁清,从事,高浮雕传拓技艺传承人
